Score,Name,SKU_Name,GFX_Family,GFX_Version,SystemClock,MemClk,MemoryWidth,MemoryPinRate,StackedMemory,ApplyMemEfficiency,MemoryEfficiency,PrimitiveRate,CUs,SHsPrSE,SAsPrSE,ColorRate1MSAA,TextureCacheL1L2Rate,ParameterCacheSize,PositionCacheSize,LateAllocVSLimit,LDSSize,Tccs,TccInKB,TccSizeScaleEnable,dragonfireEnable,MCChannel,DbMcChannel,CbMcChannel,EnableDCC,RBDoubleRateWrite,RBDoubleRateBlend,ResetIndexAtRate,VgtSmallDrawInstanceAtRate,SmallPrimitiveFilterEnable,SmallPrimFilterEn8xAA,DegeneratePrimFilter,PrimitiveBatchBinning,EnableDeferredAttributeShading,DeferredAttributeShadingASPercentage,DFSMReductionPct,PBBCBReductionPct,PBBDBReductionPct,PBBPCSizeReductionPct,CBDBInL2,DBQuadFifoScale,DBTileFifoScale,DBMrtTileFifoScale,ScaleColorReadPct,ScaleColorWritePct,NativeModeEn,NGGModeEn,NGG_PrimShaderLatency,BackCompatibleEn,EnableCullPrimitiveRate,PreCullPrimitiveRate,PostCullPrimitiveRate,GFX10_EnableSeperateBufferImageOps,SeperateBufferImageOpsSaveCycles,GFX10_EnableTATDThroughput,GFX10_TCPThroughputIncreaseFactor,GFX10_EnableDouble64BFormatTex,GFX10_EnableTATDOutOfOrder,GFX10_EnableSFU,GFX10_SFU_Cycles,SPIVGPRLoadRate,SPISGPRLoadRate,Gfx10IPCEnable,enablePerAppBigCacheConfig,ScaleTexTrafficPct,ScaleColorWriteTrafficPct,ScaleColorReadTrafficPct,ScaleDBWriteTrafficPct,ScaleDBReadTrafficPct,L1MissRateModifierPct,ResolutionScale,ESRamEnable,ESRamChannel,ESRamWidthBytes,ESRamMemClk,ESRamEffiency,NumShaderEngines,RBsPrSE,VertexRate,NumFrontEndShaderEngines,TileRate,ColorRate2MSAA,ColorRate4MSAA,ColorRate8MSAA,ZOnlyRate1MSAA,ZOnlyRate2MSAA,ZOnlyRate4MSAA,ZOnlyRate8MSAA,SX_DBRate,BarycentricRate,TextureRate32,TextureRate64,TextureRate128,TextureRateBC6,TextureRateTrilinear,SamplesPerSquad,EnableScOutOfOrderProcessing,SimdWidth,SimdsPerCU,MaxContexts,NumShaderInputBus,NumShaderExportBus,MinSimds,MaxSimds,LsCrawlerDepth,HsCrawlerDepth,EsCrawlerDepth,GsCrawlerDepth,VsCrawlerDepth,PsCrawlerDepth,Gfx9GSCrawlerDepth,SurfaceShaderCrawlerDepth,PrimShaderCrawlerDepth,LsWaveDepth,HsWaveDepth,EsWaveDepth,GsWaveDepth,VsWaveDepth,PsWaveDepth,CsWaveDepth,Gfx9GSWaveDepth,SurfaceShaderWaveDepth,PrimShaderWaveDepth,ForceOnChipGS,UseDBTileCacheStarves,LsGprDepth,HsGprDepth,EsGprDepth,GsGprDepth,VsGprDepth,PsGprDepth,CsGprDepth,Gfx9GSGprDepth,SurfaceShaderGprDepth,PrimShaderGprDepth,LsSgprDepth,HsSgprDepth,EsSgprDepth,GsSgprDepth,VsSgprDepth,PsSgprDepth,CsSgprDepth,Gfx9GSSgprDepth,SurfaceShaderSgprDepth,PrimShaderSgprDepth,ParameterCacheSize_NGG,MCUseEfficiencyScaling,MCClampEfficiencyScaling,MCEfficiencyUseClockRatio,MCUseAverage,MCClamp,MC2PassMode,BufferRatePerCU,CUsPerLDS,BlendHalfRate,AnisoOpt,SupportMaskedWrites,IgnoresZRawStalls,AvailableTexSideportBandwidth,Use16BankLDS,AdditionalMCLatency,DedicatedReadBandwidth,DedicatedWriteBandwidth,DedicatedRBMemBandwidth,DedicatedRBMemoryEfficiency,SclkMemoryWriteLimit,PsLatencyMode,CsLatencyMode,DisableCBCacheBottleneck,UseMemoryCacheMissBottleneck,VideoMemorySize,DrawModel_Method,ScoreModel_Method,EnableALUSpecInst,EnableAdjustMemLatency,ReduceL1MemLatencyPercent,ReduceL2MemLatencyPercent,ReduceDDRMemLatencyPercent,PCInL2,PCInL2MemoryBWScale,PCInL2UseInterpOps,PCInL2PackedComponents,FixedFunctionInterp,TAluPerCu,TAluInLds,DoubleGeometry,DualChipVertTraffic,Optimize8bitOnly,ClockDomainMode,NumGfxClockDomains,ClockScaleMinDrawSize,LargeDrawClocksStick,ClockScaleIncludeRampTime,MinClockScale,MaxClockScale,FixedFunctionClockScale,ShaderClockScale,TextureClockScale,RBClockScale,NonShaderClockScale,FixedFunctionArea,ShaderArea,TextureArea,RBArea,NonShaderArea,GfxCoreVoltage,PhyVoltage,GfxCoreArea,GfxProcessNode,GfxProcessType,GfxProcessLeakagePerMm2,GfxProcessDynamicCacPerMm2,GfxCoreLeakageCurrent,GfxProcessScale,GfxTdpVddc,GfxTdpBoard,GfxRegulatorLoss,GfxDramPower,GfxVddrPower,GfxMiscRailsPower,GfxFanSystemPower,GfxRegulatorOCPTime,GfxRegulatorCurrentCarryingCapacity,GfxOverTemperatureDuration,PowerManagementAlgorithm,GfxManagementVoltageStepSize,GfxVoltageChangeResponseTime,GfxFrequencyChangeResponseTime,DedicatedReadBandwidth,DedicatedWriteBandwidth,DedicatedRBMemBandwidth,DedicatedRBMemoryEfficiency,SclkMemoryWriteLimit,AvailableTexSideportBandwidth,ExTDPDcallNum,minFrequency,maxFrequency,minVoltage,maxVoltage
1,Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Fiji,PirateIslands,GFX8,1000,500,4096,1,TRUE,FALSE,100,4,64,1,0,16,1024,512,128,0,64,16,128,0,FALSE,32,16,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,FALSE,1,1,1,1,1,FALSE,FALSE,0,TRUE,FALSE,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,4,4,4,4,16,16,16,8,64,32,16,8,16,16,64,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,2,2,64,64,384,384,384,192,512,2048,0,0,0,2560,2560,2560,2560,2560,2560,2560,0,0,0,TRUE,TRUE,256,256,256,256,256,256,256,0,0,0,800,800,800,800,800,800,800,0,0,0,0,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,1,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,4096,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,507.09,40,5,0,0,12.64,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
1.6311,Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Vega10,ArcticIslands,GFX9,1700,1000,2048,2,TRUE,FALSE,100,4,56,1,0,16,1024,1024,128,0,64,16,256,0,FALSE,16,16,16,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,FALSE,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,4,4,4,4,16,16,16,8,64,32,16,8,16,16,56,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,2,2,56,56,384,384,384,192,512,2048,512,512,512,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,2048,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,1,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
0.3424,RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,RacerX,ArcticIslands,GFX8.5,1200,2000,128,8,FALSE,FALSE,100,2,16,1,0,4,256,512,64,0,64,4,256,0,FALSE,4,4,4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,1,FALSE,1,1,1,1,1,FALSE,FALSE,0,TRUE,FALSE,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,2,2,2,4,4,4,2,16,8,4,2,4,4,16,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,2,2,16,16,192,192,192,96,256,512,0,0,0,640,640,640,640,640,640,640,0,0,0,TRUE,TRUE,256,256,256,256,256,256,256,0,0,0,800,800,800,800,800,800,800,0,0,0,0,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,1,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,0.8,0,90.79,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
0.3809,RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,RacerX,ArcticIslands,GFX8.5,1400,2000,128,8,FALSE,FALSE,100,2,16,1,0,4,256,512,64,0,64,4,256,0,FALSE,4,4,4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,1,FALSE,1,1,1,1,1,FALSE,FALSE,0,TRUE,FALSE,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,2,2,2,4,4,4,2,16,8,4,2,4,4,16,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,2,2,16,16,192,192,192,96,256,512,0,0,0,640,640,640,640,640,640,640,0,0,0,TRUE,TRUE,256,256,256,256,256,256,256,0,0,0,800,800,800,800,800,800,800,0,0,0,0,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,1,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,0.8,0,90.79,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
1.2004,Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Navi10,Navi,GFX10,1800,1750,256,14,FALSE,FALSE,100,4,40,1,2,16,1024,1024,128,0,64,16,128,0,FALSE,8,8,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,4,4,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,8,4,2,16,16,16,8,64,32,16,8,16,16,40,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,40,40,384,384,384,192,512,2048,512,512,512,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
1.2477,Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,Navi10,Navi,GFX10,1800,1750,256,14,FALSE,FALSE,100,4,40,1,2,16,1024,1024,128,0,64,16,256,0,FALSE,8,8,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,4,4,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,8,4,2,16,16,16,8,64,32,16,8,16,16,40,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,40,40,384,384,384,192,512,2048,512,512,512,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
1.2601,Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,Navi10,Navi,GFX10,1800,1750,256,14,FALSE,FALSE,100,4,40,1,2,16,1024,1024,128,0,64,16,512,0,FALSE,8,8,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,4,4,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,8,4,2,16,16,16,8,64,32,16,8,16,16,40,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,40,40,384,384,384,192,512,2048,512,512,512,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
1.2758,Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,Navi10,Navi,GFX10,1800,1750,256,14,FALSE,FALSE,100,4,40,1,2,16,1024,1024,128,0,64,16,1024,0,FALSE,8,8,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,4,4,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,8,4,2,16,16,16,8,64,32,16,8,16,16,40,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,40,40,384,384,384,192,512,2048,512,512,512,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
1.29,Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Navi10,Navi,GFX10,1800,1750,256,14,FALSE,FALSE,100,4,40,1,2,16,1024,1024,128,0,64,16,2048,0,FALSE,8,8,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,4,4,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,2,8,4,2,16,16,16,8,64,32,16,8,16,16,40,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,40,40,384,384,384,192,512,2048,512,512,512,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
0.6291,Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,Navi11,Navi,GFX10,1800,1750,128,14,FALSE,FALSE,100,2,20,1,2,8,512,512,64,0,64,8,128,0,FALSE,4,4,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,2,2,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,1,8,2,1,8,8,8,4,32,16,8,4,8,8,20,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,20,20,192,192,192,96,256,1024,512,512,512,800,800,800,800,800,800,800,800,800,800,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
0.6207,Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,Navi11,Navi,GFX10,1800,1750,128,14,FALSE,FALSE,100,2,20,1,2,8,512,512,64,0,64,8,256,0,FALSE,4,4,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0.05,0.25,0.25,0.9,FALSE,1.68,1,1,1,1,FALSE,FALSE,0,TRUE,TRUE,2,2,FALSE,30,FALSE,0.6,FALSE,FALSE,FALSE,4,32,4,FALSE,TRUE,100,100,100,100,100,100,1,0,0,0,0,100,1,8,2,1,8,8,8,4,32,16,8,4,8,8,20,0.5,0.25,0.5,0.5,16,TRUE,64,4,7,4,4,20,20,192,192,192,96,256,1024,512,512,512,800,800,800,800,800,800,800,800,800,800,TRUE,TRUE,256,256,256,256,256,256,256,256,256,256,800,800,800,800,800,800,800,800,800,800,1024,TRUE,FALSE,TRUE,TRUE,2,FALSE,0,2,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,2048,0,1,FALSE,FALSE,0,0,0,FALSE,0,FALSE,4,FALSE,0,FALSE,FALSE,0,FALSE,0,1,0,FALSE,FALSE,0.5,1.2,1,1,1,1,1,1,1,1,1,1,1.1,0,316.16,40,5,0,0,6,1.0,18,0,15,0,0,0,7.5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,500,1500,0.8,1.2
